address,sniff_provider,phone_num,times,
"אביגור שאול 11, ירושלים, הר חומה",לאומית שירותי בריאות,02-6453203,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד', ו'   8:00 - 12:00, 15:30 - 18:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת
"אביגור שאול 11, ירושלים, הר חומה",מאוחדת,02-6465666,"Opening_hours   שעות פעילות  ימים א', ב', ד', ה' יום ג' יום ו'   8:00 - 19:00  8:00 - 13:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת  שירותים סוציאליים
אביחיל,שירותי בריאות כללית,09-8624660,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה  טיפול בתאונות עבודה שירותי ביקור בית נגישות לנכים
אביטל,שירותי בריאות כללית,04-6646700,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב שירות אחיות בדיקות מעבדה  נגישות לנכים
"אביתר הכהן 1, ירושלים",לאומית שירותי בריאות,02-5824097,"Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   8:00 - 13:00, 13:00 - 20:00  8:00 - 12:00   צפה בשעות הפעילות", בדיקות מעבדה אולטרה סאונד
"אבן סינא 8, חיפה",שירותי בריאות כללית,04-8351765,"Opening_hours   שעות פעילות  ימים א', ב', ה' ימים ד', ו'   8:00 - 18:30  8:00 - 12:00  חוה""מ:	 08:00 - 13:00
ערב חג:08:00 - 12:00  צפה בשעות הפעילות", בדיקות מעבדה  נגישות לנכים
"אבן עזרא 23, אשדוד",מאוחדת,08-8647811,Opening_hours ייפתח ביום ה' ב-7:00  שעות פעילות  ימים א' - ה'   7:00 - 11:00   צפה בשעות הפעילות, בדיקות מעבדה
"אבן עזרא 4, אשדוד",מאוחדת,08-8661281,"Opening_hours ייפתח ב-16:00  שעות פעילות  ימים א', ב', ד', ה' ימים ג', ו'   8:00 - 13:00, 16:00 - 19:00  8:00 - 13:00   צפה בשעות הפעילות", שירות אחיות
"אבני נזר 46, מודיעין עילית",מאוחדת,08-9144343,Opening_hours פתוח  עד 21:00  שעות פעילות  ימים א' - ה' יום ו'   8:00 - 21:00  8:00 - 12:00   צפה בשעות הפעילות, רפואת שיניים שירותים סוציאליים יועצי תזונה  טיפת חלב שירות אחיות בדיקות מעבדה בית מרקחת מוניטור מכון להתפתחות הילד פיזיותרפיה מרפאת נשים שירותי רפואה דחופה מכון קרדיולוגי מכון גסטרואנטרולוגי מכון סוכרת   עוד פרטים
"אבני נזר 46, מודיעין עילית",מכבי שירותי בריאות,08-9141800,"Opening_hours ייפתח ביום ה' ב-8:00  שעות פעילות  ימים א', ג', ה' ימים ב', ד'   8:00 - 12:00, 16:00 - 18:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מכון להתפתחות הילד
"אבני נזר 9, בני ברק",מאוחדת,03-6156400,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד' יום ו'   8:00 - 19:00  8:00 - 14:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת מרפאת נשים  שירותים סוציאליים
"אבנר בן נר 1, נס ציונה",שירותי בריאות כללית,08-9573636,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה
"אברבנאל 35, קריית חיים חיפה",שירותי בריאות כללית,04-8462300,"Opening_hours   שעות פעילות  ימים א', ג', ה' יום ב' יום ד' יום ו'   7:30 - 18:30  7:30 - 15:00  7:30 - 12:00  8:00 - 12:00  חוה""מ:	 08:00 - 13:00
ערב חג:08:00 - 12:00  צפה בשעות הפעילות", בדיקות מעבדה בדיקומט בית מרקחת  נגישות לנכים
"אברהם אבינו 27, באר שבע",לאומית שירותי בריאות,08-6406700,"Opening_hours ייפתח ביום ה' ב-8:00  שעות פעילות  ימים א', ג', ה' יום ב' יום ד'   8:00 - 13:00, 16:00 - 19:00  7:30 - 13:00  8:00 - 13:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת
"אברהם אבינו 97, באר שבע, ד' צפון",שירותי בריאות כללית,08-6241222,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת  נגישות לנכים
"אברהם בן שושן 14, עכו, שיכון המזרח",לאומית שירותי בריאות,04-9551714,"Opening_hours   שעות פעילות  יום א' ימים ב', ו' יום ג' יום ד' יום ה'   7:30 - 12:00, 13:00 - 18:00  7:30 - 11:00  7:30 - 11:30, 15:00 - 18:00  15:30 - 10:30  7:30 - 10:30, 15:00 - 18:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  רפואה משלימה
"אברהם סופר 3, אשדוד, רובע י'",שירותי בריאות כללית,08-8642705,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה
"אבשלום, חבל שלום נגב",שירותי בריאות כללית,08-9985025,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה מכון להתפתחות הילד  נגישות לנכים
"אגודת ספורט בית""ר 1, קניון ירושלים, קניון מלחה",מאוחדת,02-5846401,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה מרפאת נשים מכון קרדיולוגי מכון גסטרואנטרולוגי   עוד פרטים  יועצי תזונה שירותי אופטומטריה
"אגריפס 40, ירושלים",מכבי שירותי בריאות,02-6238238,"Opening_hours   שעות פעילות  ימים א', ג', ה' יום ד'   8:00 - 12:00, 16:00 - 18:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מכון רנטגן אולטרה סאונד מכון להתפתחות הילד פיזיותרפיה   עוד פרטים  שירותים סוציאליים ריפוי בעיסוק
"אדוריים 101, קרית גת",מכבי שירותי בריאות,08-6602611,"Opening_hours   שעות פעילות  ימים א', ד', ה' ימים ב', ג'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה אולטרה סאונד מוניטור  שירותים סוציאליים
"אדמונד דה רוטשילד 8, אשקלון",מאוחדת,08-6718441,"Opening_hours   שעות פעילות  ימים א' - ג' יום ד' יום ה' יום ו'   8:00 - 13:00  8:00 - 13:00, 16:00 - 19:00  8:00 - 16:00, 16:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בית מרקחת מרפאת נשים
"אהבת אמת 19, תל ציון כוכב יעקב, תל ציון",לאומית שירותי בריאות,02-9709456,"Opening_hours   שעות פעילות  יום א' יום ב' יום ג' יום ד' יום ה' יום ו'   8:00 - 13:00, 17:00 - 19:00  8:00 - 13:00, 14:00 - 16:00  8:00 - 13:00, 13:00 - 14:30  8:00 - 13:00, 13:30 - 18:00  8:00 - 12:30, 13:30 - 17:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת
"אהבת ישראל 2, תל ציון כוכב יעקב",מאוחדת,02-9706555,"Opening_hours   שעות פעילות  ימים א', ב', ד', ה' יום ג' יום ו'   8:00 - 13:30, 16:00 - 18:00  8:00 - 15:30  8:00 - 10:30   צפה בשעות הפעילות", טיפת חלב שירות אחיות בדיקות מעבדה בית מרקחת מוניטור מרפאת נשים שירותי רפואה דחופה   עוד פרטים  שירותים סוציאליים יועצי תזונה
"אהבת ישראל 2, תל ציון כוכב יעקב, תל ציון",שירותי בריאות כללית,02-9705700,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב שירות אחיות בדיקות מעבדה אולטרה סאונד מכון להתפתחות הילד   עוד פרטים
אום אל-פחם,שירותי בריאות כללית,04-8148800,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת  נגישות לנכים
"אום אל-פחם, א'",שירותי בריאות כללית,04-6312934,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה בדיקומט  שירותי ביקור בית נגישות לנכים
"אום אל-פחם, ב'",שירותי בריאות כללית,04-6115200,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה בדיקומט בית מרקחת  שירותי ביקור בית נגישות לנכים
"אום אל-פחם, ג'",שירותי בריאות כללית,04-6313799,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת  שירותי ביקור בית נגישות לנכים
"אום אל-פחם, מ.מסחרי אלהרם",מכבי שירותי בריאות,04-6317676,"Opening_hours   שעות פעילות  ימים א', ג', ד' ימים ב', ה'   8:00 - 12:30, 16:00 - 18:30  8:00 - 12:30   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה אולטרה סאונד פיזיותרפיה  שירותים סוציאליים שירותי ביקור בית
"אום אל-פחם, שכונת מחאגנה-אל",מאוחדת,04-6115600,"Opening_hours   שעות פעילות  ימים א', ג', ד' ימים ב', ה'   8:00 - 12:00, 16:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת מכון סוכרת  שירותים סוציאליים יועצי תזונה שירותי אופטומטריה
אום אל-קוטוף,שירותי בריאות כללית,04-6255040,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה בית מרקחת  טיפול בתאונות עבודה שירותי ביקור בית נגישות לנכים
"אוסישקין 38, חדרה",שירותי בריאות כללית,04-6332921,"Opening_hours   שעות פעילות  ימים א', ג' ימים ב', ה' יום ו'   7:30 - 13:00, 16:00 - 19:00  7:30 - 14:00  8:00 - 10:00  חוה""מ:	 08:00 - 13:00
ערב חג:08:00 - 12:00  צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  שירותי ביקור בית נגישות לנכים
"אוסקר שינדלר 30, באר שבע, רמות",לאומית שירותי בריאות,08-9908800,"Opening_hours ייפתח ב-16:00  שעות פעילות  ימים א', ב', ד' ימים ג', ה' יום ו'   8:00 - 13:00, 16:00 - 19:00  8:00 - 13:00  8:00 - 12:30   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת
"אוסקר שינדלר 32, באר שבע",מכבי שירותי בריאות,08-6496220,"Opening_hours   שעות פעילות  ימים א', ב', ד', ה' יום ג'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  שירותים סוציאליים
"אופירה 1, אור יהודה",מכבי שירותי בריאות,03-5387222,"Opening_hours ייפתח ב-16:00  שעות פעילות  ימים א', ד' ימים ב', ג', ה'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מכון להתפתחות הילד פיזיותרפיה  שירותים סוציאליים
"אור החיים 28, אופקים",שירותי בריאות כללית,08-9960517,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה מכון להתפתחות הילד
אור הנר,שירותי בריאות כללית,08-6802500,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה
"אור עקיבא, מ. מסחרי ליד הבנק",מאוחדת,04-6704400,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד', ו'   8:00 - 12:00, 16:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת  יועצי תזונה
"אורה 4, רמת גן",מכבי שירותי בריאות,03-6750333,"Opening_hours   שעות פעילות  ימים א', ג', ה' יום ב' יום ד'   8:00 - 12:00  8:00 - 12:00, 16:00 - 18:00  16:00 - 18:00, 16:00 - 18:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה אולטרה סאונד פיזיותרפיה  שירותים סוציאליים
"אורוגואי 1, ירושלים",לאומית שירותי בריאות,02-5636165,"Opening_hours   שעות פעילות  ימים א', ב', ד' ימים ג', ה' יום ו'   7:30 - 12:00, 15:30 - 18:00  7:30 - 12:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת
"אורוגואי 3, ירושלים, קרית יובל",מאוחדת,02-6442222,"Opening_hours   שעות פעילות  ימים א', ב', ד', ה' יום ג' יום ו'   8:00 - 18:30  8:00 - 14:00  8:00 - 11:30   צפה בשעות הפעילות", רפואת שיניים שירותים סוציאליים ריפוי בעיסוק יועצי תזונה שירותי אופטומטריה   עוד פרטים  שירות אחיות בדיקות מעבדה בית מרקחת מוניטור פיזיותרפיה מכון גסטרואנטרולוגי מכון סוכרת   עוד פרטים
"אורי בראון 4, אריאל",שירותי בריאות כללית,03-9065200,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת  נגישות לנכים
אורים,שירותי בריאות כללית,08-9920211,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה  נגישות לנכים
"אורלנסקי 8, פתח תקווה",שירותי בריאות כללית,03-9084400,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת  נגישות לנכים
אושה,שירותי בריאות כללית,04-8458579,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב שירות אחיות בדיקות מעבדה  נגישות לנכים
"אחד העם 22, אשדוד, רסקו",לאומית שירותי בריאות,08-8687500,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד'   8:00 - 13:00, 16:00 - 19:00  8:00 - 13:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת שירותי רפואה דחופה מרפאת כאב   עוד פרטים  שירותי אופטומטריה
"אחד העם 8, נהריה",מכבי שירותי בריאות,04-9878400,"Opening_hours ייפתח ב-16:00  שעות פעילות  ימים א', ג', ד' ימים ב', ה'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מכון להתפתחות הילד פיזיותרפיה  שירותים סוציאליים שירותי ביקור בית
אחיהוד,שירותי בריאות כללית,04-9964570,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה  נגישות לנכים
אחיסמך,שירותי בריאות כללית,08-9228664,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה
אייל,שירותי בריאות כללית,09-7639100,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה  שירותי ביקור בית שירות מעקב היריון
"איילון 14, לוד, גני יער",לאומית שירותי בריאות,08-9583555,"Opening_hours   שעות פעילות  ימים א', ג', ד' ימים ב', ה' יום ו'   8:00 - 12:00, 16:00 - 19:00  8:00 - 13:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת פיזיותרפיה  רפואה משלימה
איילת השחר,שירותי בריאות כללית,04-6932222,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה  נגישות לנכים
"אילת, מרכז אופיר",שירותי בריאות כללית,08-6358091,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה  שירותים סוציאליים שירותי ביקור בית
"אינטרנציונל 5, חיפה, נווה שאנן",מאוחדת,04-8231859,"Opening_hours   שעות פעילות  ימים א', ב', ד', ה' יום ג' יום ו'   8:00 - 12:30, 16:00 - 19:00  8:00 - 12:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מוניטור מרפאת נשים מכון קרדיולוגי מכון גסטרואנטרולוגי   עוד פרטים  שירותים סוציאליים יועצי תזונה
אכסאל,שירותי בריאות כללית,04-6428700,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה בדיקומט  נגישות לנכים
"אל אדריסי 10, חיפה, קרית אליהו",שירותי בריאות כללית,04-8141300,"Opening_hours   שעות פעילות  יום א' ימים ב', ג' ימים ד', ו' יום ה'   8:00 - 12:00, 16:00 - 19:00  8:00 - 15:00  8:00 - 12:00  8:00 - 12:00, 16:00 - 18:00  חוה""מ:	 08:00 - 13:00
ערב חג:08:00 - 12:00  צפה בשעות הפעילות", בדיקות מעבדה  נגישות לנכים
"אל אספהאני 8, ירושלים",מכבי שירותי בריאות,02-6281255,"Opening_hours   שעות פעילות  ימים א' - ה' יום שבת   8:00 - 12:30, 16:00 - 22:00  8:00 - 12:30   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מכון רנטגן אולטרה סאונד מכון להתפתחות הילד פיזיותרפיה   עוד פרטים  שירותים סוציאליים
"אל גבל אל גדיד, ירושלים, בית צפאפא מדיקל סנטר",שירותי בריאות כללית,02-5658222,Opening_hours   שעות פעילות  ימים א' - ה' יום ו' יום שבת   7:30 - 22:00  16:00 - 22:00  8:00 - 22:00   צפה בשעות הפעילות, בדיקות מעבדה מכון רנטגן  נגישות לנכים
"אל רשיד 3, ירושלים, אלקודס",שירותי בריאות כללית,02-6264446,Opening_hours   שעות פעילות  7 ימים בשבוע   8:00 - 23:59   צפה בשעות הפעילות, בדיקות מעבדה מכון רנטגן  נגישות לנכים
אלומה,שירותי בריאות כללית,08-6887813,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה
אלומות,שירותי בריאות כללית,04-6750802,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה
אלון מורה,שירותי בריאות כללית,02-9973779,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב שירות אחיות בדיקות מעבדה בית מרקחת  טיפול בתאונות עבודה שירות מעקב היריון נגישות לנכים
אלוני הבשן,שירותי בריאות כללית,04-6960012,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב בדיקות מעבדה  נגישות לנכים
אלונים,שירותי בריאות כללית,04-9838111,"Opening_hours   שעות פעילות  יום א' ימים ב' - ד' יום ה'   7:30 - 12:00, 15:30 - 18:30  7:30 - 12:00  7:30 - 12:00, 16:00 - 18:30  ערב חג:	07:30 - 12:00  צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה  נגישות לנכים
"אלוף יקותיאל אדם, חדרה, קניון בית אליעז",מאוחדת,04-6123001,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד' יום ו'   8:00 - 12:30, 16:00 - 20:00  8:00 - 12:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מרפאת נשים  שירותים סוציאליים יועצי תזונה
"אלי כהן 1, בת ים",מכבי שירותי בריאות,03-7506688,"Opening_hours   שעות פעילות  יום א' יום ב' יום ג' יום ד' יום ה' יום ו'   8:30 - 16:30  15:00 - 19:00  7:30 - 10:00, 15:00 - 20:00  8:00 - 19:00  14:00 - 19:00  7:30 - 13:00   צפה בשעות הפעילות", בדיקות מעבדה
"אלי כהן 11, לוד",שירותי בריאות כללית,08-9135300,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בדיקומט בית מרקחת  נגישות לנכים
"אלי כהן 19, אשקלון",שירותי בריאות כללית,08-6772333,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת  נגישות לנכים
"אלי כהן 29, קרית ים, רסקו",שירותי בריאות כללית,04-8809500,"Opening_hours ייפתח ביום ה' ב-8:00  שעות פעילות  ימים א' - ג', ה' ימים ד', ו'   8:00 - 18:30  8:00 - 12:00  חוה""מ:	08:00 - 13:00
ערב חג:	08:00 - 12:00
  צפה בשעות הפעילות", בדיקות מעבדה בדיקומט בית מרקחת אולטרה סאונד מוניטור   עוד פרטים  שירות מעקב היריון נגישות לנכים
"אלי כהן 9, קרית עקרון",מאוחדת,08-9372111,"Opening_hours ייפתח ביום ה' ב-8:00  שעות פעילות  ימים א', ג' ימים ב', ד', ה' יום ו'   8:00 - 12:00, 16:00 - 19:00  8:00 - 12:00  8:00 - 11:30   צפה בשעות הפעילות", טיפת חלב שירות אחיות בדיקות מעבדה  יועצי תזונה
"אליהו קורן 36, ירושלים",מאוחדת,02-6365636,"Opening_hours   שעות פעילות  ימים א', ג' - ה' יום ב' יום ו'   8:00 - 18:00  8:00 - 13:00  8:00 - 11:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מרפאת נשים מכון גסטרואנטרולוגי  יועצי תזונה
"אליעזר יפה 8, רעננה, סניף שועלי",שירותי בריאות כללית,09-7477979,"Opening_hours   שעות פעילות  ימים א', ה' ימים ב', ד' יום ג' יום ו'   8:00 - 19:00  8:00 - 14:00  8:00 - 12:00, 16:00 - 19:00  8:00 - 12:00  חוה""מ:	 08:00 - 13:00
ערב חג:08:00 - 12:00
חג:	 00:00 - 01:00  צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה בדיקומט בית מרקחת  טיפול בתאונות עבודה שירותי ביקור בית נגישות לנכים
אליקים,שירותי בריאות כללית,04-9892823,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה  נגישות לנכים
"אלישיב, סניף מרכז המושבה",מאוחדת,04-6308256,"Opening_hours   שעות פעילות  יום א' יום ג' יום ה'   11:00 - 12:30, 16:30 - 18:30  9:30 - 11:00  8:00 - 9:30   צפה בשעות הפעילות", בדיקות מעבדה
